,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
6506,2017,Jacob de la Rose,LW,5.57290169224143,4,71,71,88,76,77,73,71,-2
6507,2017,Jaden Schwartz,LW,17.817024518270046,24,89,89,75,73,87,71,71,15
6508,2017,Jake DeBrusk,LW,16.23681773385033,16,86,86,80,71,84,75,72,13
6509,2017,Jake Dotchin,D,2.046893399208784,3,67,71,85,85,59,82,70,17
6510,2017,Jake Gardiner,D,7.342098194174468,5,72,92,74,88,86,95,73,9
6511,2017,Jake Guentzel,LW,21.364135008305308,22,88,86,88,80,85,72,79,-9
6512,2017,Jake McCabe,D,2.0083631919696927,3,67,73,86,86,71,78,70,-11
6513,2017,Jake Muzzin,D,7.9282858944498,8,77,88,90,90,74,88,75,10
6514,2017,Jake Virtanen,RW,11.234887337312102,10,81,75,90,73,88,81,66,-11
6515,2017,Jakob Chychrun,D,5.650358555838466,4,68,74,80,86,76,78,67,2
6516,2017,Jakob Silfverberg,RW,18.49053611978889,17,86,85,75,85,86,85,70,6
6517,2017,Jakub Jerabek,D,1.994319462683052,2,65,68,73,82,59,82,70,-2
6518,2017,Jakub Voracek,RW,21.224959910847247,20,88,98,62,74,85,89,82,10
6519,2017,Jakub Vrana,LW,14.626646886579692,13,84,78,67,65,82,84,71,2
6520,2017,James Neal,LW,20.20175348501652,25,89,83,72,73,88,81,70,-11
6521,2017,James van Riemsdyk,LW,32.870230806525804,36,94,82,70,69,84,85,86,1
